starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 25 21:37:38 2016	1469493458	0	12	12	12
Mon Jul 25 21:37:38 2016	1469493458	0	12	12	12
Mon Jul 25 21:37:38 2016	1469493458	0	12	12	12
Mon Jul 25 21:37:38 2016	1469493458	0	12	12	12
Mon Jul 25 21:37:38 2016	1469493458	2	10	12	10
Mon Jul 25 21:37:38 2016	1469493458	2	11	12	11
Mon Jul 25 21:37:38 2016	1469493458	2	11	12	11
Mon Jul 25 21:37:38 2016	1469493458	1	11	12	11
Mon Jul 25 21:37:38 2016	1469493458	1	11	12	11
Mon Jul 25 21:37:38 2016	1469493458	1	11	12	11
Mon Jul 25 21:37:38 2016	1469493458	2	11	12	10
Mon Jul 25 21:37:38 2016	1469493458	0	12	12	12
Mon Jul 25 21:37:38 2016	1469493458	0	12	12	12
Mon Jul 25 21:37:38 2016	1469493458	8	6	13	5
Mon Jul 25 21:37:38 2016	1469493458	1	12	13	12
Mon Jul 25 21:37:38 2016	1469493458	8	6	13	5
Mon Jul 25 21:37:38 2016	1469493458	8	6	13	5
Mon Jul 25 21:37:38 2016	1469493458	8	6	13	5
Mon Jul 25 21:37:38 2016	1469493458	8	6	13	5
Mon Jul 25 21:37:38 2016	1469493458	8	6	13	5
Mon Jul 25 21:37:38 2016	1469493458	8	6	13	5
Mon Jul 25 21:37:38 2016	1469493458	1	12	13	12
Mon Jul 25 21:37:38 2016	1469493458	8	5	13	4
Mon Jul 25 21:37:38 2016	1469493458	8	6	14	5
Mon Jul 25 21:37:38 2016	1469493458	8	5	14	5
Mon Jul 25 21:37:38 2016	1469493458	8	5	14	5
Mon Jul 25 21:37:38 2016	1469493458	8	6	14	5
Mon Jul 25 21:37:38 2016	1469493458	8	6	14	5
Mon Jul 25 21:37:38 2016	1469493458	8	6	14	5
Mon Jul 25 21:37:38 2016	1469493458	8	6	14	5
Mon Jul 25 21:37:38 2016	1469493458	8	6	14	5
Mon Jul 25 21:37:38 2016	1469493458	2	12	14	12
Mon Jul 25 21:37:38 2016	1469493458	2	12	14	12
Mon Jul 25 21:37:38 2016	1469493458	8	6	14	6
Mon Jul 25 21:37:38 2016	1469493458	0	14	14	14
Mon Jul 25 21:37:38 2016	1469493458	2	12	14	12
Mon Jul 25 21:37:38 2016	1469493458	2	12	14	12
Mon Jul 25 21:37:38 2016	1469493458	2	13	14	12
Mon Jul 25 21:37:38 2016	1469493458	2	13	14	13
Mon Jul 25 21:37:38 2016	1469493458	2	13	14	13
Mon Jul 25 21:37:38 2016	1469493458	2	13	14	13
Mon Jul 25 21:37:38 2016	1469493458	1	13	14	13
Mon Jul 25 21:37:38 2016	1469493458	4	11	14	10
Mon Jul 25 21:37:38 2016	1469493458	1	13	14	13
Mon Jul 25 21:37:38 2016	1469493458	4	10	14	7
Mon Jul 25 21:37:38 2016	1469493458	4	11	15	10
Mon Jul 25 21:37:38 2016	1469493458	4	11	15	10
Mon Jul 25 21:37:38 2016	1469493458	4	11	15	10
Mon Jul 25 21:37:38 2016	1469493458	1	13	15	13
Mon Jul 25 21:37:38 2016	1469493458	1	13	15	13
Mon Jul 25 21:37:38 2016	1469493458	1	13	15	13
Mon Jul 25 21:37:38 2016	1469493458	1	14	15	14
Mon Jul 25 21:37:38 2016	1469493458	2	13	15	13
Mon Jul 25 21:37:38 2016	1469493458	7	8	15	6
Mon Jul 25 21:37:38 2016	1469493458	7	8	15	6
Mon Jul 25 21:37:38 2016	1469493458	6	8	15	6
Mon Jul 25 21:37:38 2016	1469493458	7	8	15	6
Mon Jul 25 21:37:38 2016	1469493458	1	13	15	13
Mon Jul 25 21:37:38 2016	1469493458	1	13	15	13
Mon Jul 25 21:37:38 2016	1469493458	4	10	15	7
Mon Jul 25 21:37:38 2016	1469493458	4	11	15	10
Mon Jul 25 21:37:38 2016	1469493458	1	14	15	14
Mon Jul 25 21:37:38 2016	1469493458	7	8	15	6
Mon Jul 25 21:37:38 2016	1469493458	4	11	15	10
Mon Jul 25 21:37:38 2016	1469493458	1	14	15	13
Mon Jul 25 21:37:38 2016	1469493458	1	13	15	13
Mon Jul 25 21:37:38 2016	1469493458	1	14	15	13
Mon Jul 25 21:37:38 2016	1469493458	7	8	15	6
Mon Jul 25 21:37:38 2016	1469493458	4	11	15	10
Mon Jul 25 21:37:38 2016	1469493458	0	15	15	15
Mon Jul 25 21:37:38 2016	1469493458	1	14	15	14
Mon Jul 25 21:37:38 2016	1469493458	0	15	15	15
Mon Jul 25 21:37:38 2016	1469493458	7	8	15	6
Mon Jul 25 21:37:38 2016	1469493458	1	14	15	14
Mon Jul 25 21:37:38 2016	1469493458	1	14	15	14
Mon Jul 25 21:37:38 2016	1469493458	7	8	15	6
Mon Jul 25 21:37:38 2016	1469493458	1	14	15	14
Mon Jul 25 21:37:38 2016	1469493458	7	8	15	6
Mon Jul 25 21:37:38 2016	1469493458	0	15	15	15
Mon Jul 25 21:37:38 2016	1469493458	0	15	15	15
Mon Jul 25 21:37:38 2016	1469493458	0	15	15	15
Mon Jul 25 21:37:38 2016	1469493458	7	8	15	7
Mon Jul 25 21:37:38 2016	1469493458	0	15	15	15
Mon Jul 25 21:37:38 2016	1469493458	5	11	15	7
Mon Jul 25 21:37:38 2016	1469493458	7	8	15	7
Mon Jul 25 21:37:38 2016	1469493458	1	14	15	11
Mon Jul 25 21:37:38 2016	1469493458	7	8	15	7
Mon Jul 25 21:37:38 2016	1469493458	1	14	15	14
Mon Jul 25 21:37:38 2016	1469493458	0	15	15	15
Mon Jul 25 21:37:38 2016	1469493458	1	15	16	14
Mon Jul 25 21:37:38 2016	1469493458	1	15	16	14
Mon Jul 25 21:37:38 2016	1469493458	1	15	16	14
Mon Jul 25 21:37:38 2016	1469493458	1	15	16	15
Mon Jul 25 21:37:38 2016	1469493458	1	15	16	14
Mon Jul 25 21:37:38 2016	1469493458	8	8	16	7
Mon Jul 25 21:37:38 2016	1469493458	1	15	16	14
Mon Jul 25 21:37:38 2016	1469493458	1	15	16	15
Mon Jul 25 21:37:38 2016	1469493458	1	15	16	14
Mon Jul 25 21:37:38 2016	1469493458	1	15	16	14
Mon Jul 25 21:37:38 2016	1469493458	1	15	16	14
Mon Jul 25 21:37:38 2016	1469493458	1	15	16	15
